Date,Open,High,Low,Close,Volume
1999-12-31,3.6,3.67,3.55,3.67,40952800
2000-01-03,3.75,4.02,3.63,4.0,133949200
2000-01-04,3.87,3.95,3.61,3.66,128094400
2000-01-05,3.71,3.95,3.68,3.71,194580400
2000-01-06,3.79,3.82,3.39,3.39,191993200
2000-01-07,3.45,3.61,3.41,3.55,115183600
2000-01-10,3.64,3.65,3.38,3.49,126266000
2000-01-11,3.43,3.55,3.23,3.31,110387200
2000-01-12,3.39,3.41,3.09,3.11,244017200
2000-01-13,3.37,3.53,3.3,3.46,258171200
2000-01-14,3.57,3.65,3.55,3.59,97594000
2000-01-18,3.61,3.79,3.59,3.71,114794400
2000-01-19,3.77,3.88,3.69,3.81,149410800
2000-01-20,4.12,4.34,4.05,4.05,457783200
2000-01-21,4.08,4.08,3.94,3.98,123981200
2000-01-24,3.87,4.03,3.75,3.79,110219200
2000-01-25,3.75,4.04,3.66,4.01,124286400
2000-01-26,3.93,4.08,3.92,3.94,91789600
2000-01-27,3.89,4.04,3.82,3.93,85036000
2000-01-28,3.86,3.96,3.59,3.63,105837200
2000-01-31,3.61,3.71,3.38,3.71,175420000
2000-02-01,3.71,3.75,3.57,3.58,79508800
2000-02-02,3.6,3.65,3.46,3.53,116048800
2000-02-03,3.58,3.72,3.58,3.69,118798400
2000-02-04,3.71,3.93,3.7,3.86,106330000
2000-02-07,3.86,4.08,3.78,4.07,110266800
2000-02-08,4.07,4.15,3.97,4.1,102160800
2000-02-09,4.08,4.18,4.02,4.02,74841200
2000-02-10,4.03,4.07,3.93,4.05,75745600
2000-02-11,4.06,4.08,3.87,3.88,53062800
2000-02-14,3.9,4.14,3.88,4.14,91884800
2000-02-15,4.12,4.28,4.11,4.25,121436000
2000-02-16,4.21,4.22,4.0,4.08,94561600
2000-02-17,4.11,4.12,4.04,4.1,72374400
2000-02-18,4.09,4.12,3.96,3.97,58360400
2000-02-22,3.93,4.18,3.81,4.06,105574000
2000-02-23,4.04,4.25,3.96,4.15,118274800
2000-02-24,4.19,4.25,3.99,4.11,94108000
2000-02-25,4.1,4.18,3.93,3.94,62286000
2000-02-28,3.93,4.11,3.87,4.04,82082000
2000-02-29,4.06,4.19,4.02,4.09,92240400
2000-03-01,4.23,4.72,4.23,4.65,269250800
2000-03-02,4.54,4.57,4.31,4.36,77814800
2000-03-03,4.46,4.58,4.29,4.57,80841600
2000-03-06,4.5,4.61,4.46,4.49,52640000
2000-03-07,4.52,4.55,4.33,4.39,68252800
2000-03-08,4.39,4.43,4.23,4.36,67807600
2000-03-09,4.32,4.46,4.22,4.37,69179600
