Date,Open,High,Low,Close,Volume
2007-12-28,64.5,64.5,63.08,64.5,1360
2008-01-02,63.01,66.0,63.01,65.0,8088
2008-01-03,65.92,65.92,64.8,65.15,1184
2008-01-04,65.0,65.3,60.64,61.4,9621
2008-01-07,60.36,61.0,58.89,60.38,5135
2008-01-08,59.66,62.13,59.5,62.04,8994
2008-01-09,60.06,60.78,56.7,56.7,4235
2008-01-10,57.68,57.75,56.69,56.69,2361
2008-01-11,56.11,57.26,56.01,56.01,1025
2008-01-14,54.32,55.31,53.36,54.5,9181
2008-01-15,55.87,55.87,53.1,53.1,3236
2008-01-16,52.5,54.23,52.22,54.23,2263
2008-01-17,55.55,55.55,54.5,54.68,12740
2008-01-18,53.65,55.97,53.65,55.97,1560
2008-01-22,49.23,53.57,47.5,53.57,5701
2008-01-23,54.63,54.81,49.72,49.72,2584
2008-01-24,50.48,51.0,49.84,50.93,1800
2008-01-25,53.0,54.51,52.46,52.7,10951
2008-01-28,54.1,54.1,51.51,51.96,8593
2008-01-29,51.94,52.0,49.87,49.87,9149
2008-01-30,51.0,51.0,48.8,51.0,7219
2008-01-31,44.24,50.58,43.5,50.0,15966
2008-02-01,52.01,53.18,50.01,50.37,15840
2008-02-04,50.6,51.0,49.51,50.8,2871
2008-02-05,50.14,50.85,49.75,49.75,1783
2008-02-06,49.5,49.5,48.7,48.84,1826
2008-02-07,46.75,47.91,45.8,47.87,3405
2008-02-08,48.65,51.06,47.58,50.4,16857
2008-02-11,50.8,51.05,50.5,51.05,3040
2008-02-12,52.0,52.5,51.32,52.12,1860
2008-02-13,51.26,51.98,50.66,51.98,3426
2008-02-14,53.1,53.75,51.65,51.65,2639
2008-02-15,52.12,52.5,49.9,49.9,1661
2008-02-19,50.44,50.44,49.75,49.75,4239
2008-02-20,48.21,49.9,48.1,49.9,2420
2008-02-21,50.32,50.32,49.33,49.33,1511
2008-02-22,47.96,48.12,46.46,48.0,4786
2008-02-25,49.2,49.5,48.46,48.46,519
2008-02-26,49.59,49.59,47.41,47.41,1842
2008-02-27,48.08,48.08,46.39,46.87,557
2008-02-28,47.36,47.36,44.9,45.16,325
2008-02-29,44.45,44.9,43.32,43.32,2471
2008-03-03,41.89,42.3,41.03,41.73,3726
2008-03-04,41.21,41.21,40.5,40.5,775
2008-03-05,43.11,43.25,42.88,43.25,2271
2008-03-06,41.5,42.34,41.5,42.18,1200
2008-03-07,41.05,41.94,40.07,41.64,2726
2008-03-10,41.43,42.35,41.39,41.61,1660
2008-03-11,41.89,43.17,41.6,42.45,6056
2008-03-12,44.2,44.23,42.85,43.52,4638
2008-03-13,41.97,42.12,41.97,42.12,530
2008-03-14,44.13,44.61,43.14,43.5,286
2008-03-17,42.7,42.7,40.99,41.92,10153
2008-03-18,43.34,44.2,42.68,43.91,1359
2008-03-19,46.78,46.92,44.27,46.86,4388
2008-03-20,45.28,45.83,45.28,45.83,1115
2008-03-25,49.0,49.59,47.78,48.29,3793
2008-03-26,47.52,47.91,47.34,47.34,860
2008-03-27,46.73,46.8,45.95,45.95,709
2008-03-28,45.01,46.02,45.01,45.32,4452
2008-03-31,42.8,44.58,42.8,44.1,2245
2008-04-01,45.03,48.01,45.01,47.81,6837
2008-04-02,48.75,50.23,48.61,50.23,4324
2008-04-03,48.71,48.71,47.83,48.39,1600
2008-04-04,48.02,48.02,47.55,47.89,3633
2008-04-07,49.26,49.68,49.14,49.49,1010
2008-04-08,48.81,49.33,48.17,49.33,400
2008-04-09,47.69,47.69,47.69,47.69,204
2008-04-10,46.97,47.25,46.45,46.71,548
2008-04-11,47.29,47.29,46.5,46.5,122
2008-04-14,45.38,46.45,45.32,46.17,958
2008-04-15,45.81,46.47,45.06,45.06,387
2008-04-16,45.97,47.0,45.95,45.95,940
2008-04-17,46.69,46.99,46.69,46.72,308
2008-04-18,47.05,50.51,47.03,50.51,8567
2008-04-21,50.97,50.97,49.64,50.42,3419
2008-04-22,50.48,51.19,48.87,49.24,609
2008-04-23,50.45,50.91,49.73,50.8,4192
2008-04-24,48.97,50.0,48.35,49.18,699
2008-04-25,49.66,50.26,49.66,50.26,540
2008-04-28,50.8,52.35,50.8,52.07,261
2008-04-29,52.72,52.72,51.51,51.51,506
2008-04-30,51.7,52.98,51.68,51.99,2136
2008-05-02,50.97,51.8,50.43,50.43,660
2008-05-05,49.99,50.98,49.99,50.4,384
2008-05-06,48.8,48.8,48.62,48.62,416
2008-05-07,48.83,49.46,48.83,49.11,380
2008-05-08,48.21,48.25,46.69,46.8,485
2008-05-09,46.96,47.8,45.7,47.09,572
2008-05-12,47.2,47.2,47.13,47.13,239
2008-05-13,48.21,48.9,47.7,47.7,1676
2008-05-14,48.95,48.95,48.12,48.83,1112
2008-05-15,47.47,49.19,47.47,47.75,3933
2008-05-16,49.3,49.3,48.65,48.82,1467
2008-05-19,49.33,53.3,49.32,53.3,15832
2008-05-20,53.3,53.7,51.5,51.78,1868
2008-05-21,50.3,52.4,50.3,50.57,1422
2008-05-22,49.59,50.8,49.22,49.22,678
2008-05-23,50.31,51.1,49.4,49.4,1222
2008-05-27,51.48,51.48,49.52,50.5,596
2008-05-28,51.64,52.0,51.35,51.47,788
2008-05-29,52.0,52.61,51.46,52.61,2830
2008-05-30,51.97,52.5,51.61,51.61,404
2008-06-02,52.78,52.78,52.49,52.49,51
2008-06-03,51.5,52.45,51.5,51.99,1612
2008-06-04,52.85,52.85,50.5,52.81,2055
2008-06-05,53.08,54.34,51.9,54.08,754
2008-06-06,53.93,53.93,52.38,52.38,279
2008-06-09,51.52,51.99,51.28,51.35,1175
2008-06-10,50.75,51.16,50.75,51.0,380
2008-06-11,51.21,51.66,50.24,50.24,292
2008-06-12,50.3,51.13,50.1,50.1,1457
2008-06-13,49.8,52.01,49.8,52.01,57
2008-06-16,51.98,52.45,51.04,52.45,2607
2008-06-17,52.56,54.0,52.56,53.95,327
2008-06-18,53.67,53.93,52.51,52.71,1418
2008-06-19,51.64,53.71,51.64,53.71,1850
2008-06-20,53.6,53.6,52.07,52.27,1080
2008-06-23,52.46,52.46,52.46,52.46,38
2008-06-24,51.0,51.0,50.07,50.07,640
2008-06-25,51.62,52.85,51.0,52.85,231
2008-06-26,50.22,51.96,48.59,48.59,2436
2008-06-27,49.0,49.48,46.9,46.9,2603
2008-06-30,47.25,47.94,47.08,47.94,556
